"Parameter","Value.TP","Value.TN"
"Downstream NNC",12,0.3
"Number of Sites; k",2,2
"Number of Site Years; N",35,4
"Degree of Freedom; df",33,2
"Mean Rescaled FWM; LTFWM",14.1987625315279,0.408039399595887
"SE of Rescaled FWM; SE LTFWM",0.895516445351546,0.0401288923967541
"Annual Ln Mean FWM; m",2.59989090151067,-0.911223958019857
"Annual Ln SD FWM; std",0.315676065655289,0.199838520824484
"Pooled Ln SD FWM; s",0.0557205613752256,0.0413926956387645
"Assumed Probability; p",0.1,0.1
"Students-t; Tp",1.30773712445089,1.88561808316413
"Long Term FWM Limit",14.2110794456631,0.447064807299569
